Order,Material Number,Order quantity (GMEIN),WBS Element,Occurrence,Order Type,MRP controller,Plant,Basic start date,System Status,Material description
2275289,1170155G-G1B-B1,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 30 x 45'-8 11/16
2275294,1170155G-G1B-B2,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 30 x 49'-8 3/4
2275298,1170155G-G1B-B3,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 1/2 x 30 x 22'-10 1/2
2275303,1170155G-G1B-B4,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 7/8 x 22 x 21'-5 13/16
2275307,1170155G-G1B-T1,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 22 x 45'-8 11/16
2275310,1170155G-G1B-T2,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 22 x 49'-8 3/4
2275314,1170155G-G1B-T3,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 7/8 x 22 x 22'-10 1/2
2276018,1170155G-G1B-T4,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 x 22 x 21'-0 1/16
2276035,1170155G-G2B-B1,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 30 x 45'-8 11/16
2276037,1170155G-G2B-B2,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 30 x 49'-8 3/4
2276039,1170155G-G2B-B3,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 1/2 x 30 x 22'-10 1/2
2276040,1170155G-G2B-B4,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 7/8 x 22 x 21'-5 7/8
2276042,1170155G-G2B-T1,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 22 x 45'-8 11/16
2276044,1170155G-G2B-T2,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 2 5/8 x 22 x 49'-8 3/4
2276046,1170155G-G2B-T3,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 7/8 x 22 x 22'-10 1/2
2276048,1170155G-G2B-T4,1,D-1170155-19934,13,PR,003,HS01,5/20/2019,,PL 1 x 22 x 21'-0
2267030,1180045A-G4A-B1,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 1/4 x 14 x 49'-6 9/16
2267031,1180045A-G4A-B2,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 3/4 x 18 x 30'-6
2267032,1180045A-G4A-B3,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 1/4 x 14 x 33'-2 1/16
2267033,1180045A-G4A-T1,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 1/4 x 14 x 49'-6 11/16
2267034,1180045A-G4A-T2,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 3/4 x 18 x 30'-6
2267035,1180045A-G4A-T3,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 1 1/4 x 14 x 33'-1 15/16
2267036,1180045A-G4A-W1,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 9/16 x 24 x 82'-5 15/16
2267037,1180045A-G4A-W2,1,D-1180045-10602,02,PR,003,HS01,5/20/2019,,PL 9/16 x 24 x 30'-8 11/16
2319229,1180045B-G5A-W1,1,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1/2 x 24 x 35'-5 13/16
2319232,1180045B-G5A-W2,1,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1/2 x 24 x 61'-11 1/2
2296758,1180045B-MP2-A,6,D-1180045-11340,04,PR,003,HS01,5/20/2019,,PL 2 x 12 x 2'-0
2319289,1180045B-MP2-A,4,D-1180045-11659,05,PR,003,HS01,5/20/2019,,PL 2 x 12 x 2'-0
2319295,1180045B-X1A,28,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 1/2 x 5 1/2 x 0'-11 1/2
2358866,1180045B-X1A,8,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1/2 x 5 1/2 x 0'-11 1/2
2319306,1180045B-X1D,6,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 3/4 x 7 1/2 x 2'-0
2358869,1180045B-X1D,2,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 3/4 x 7 1/2 x 2'-0
2319310,1180045B-X1F,8,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 3/4 x 7 1/2 x 2'-0
2358872,1180045B-X1F,2,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 3/4 x 7 1/2 x 2'-0
2319315,1180045B-X1G,20,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 1/2 x 7 1/2 x 2'-0
2358874,1180045B-X1G,8,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1/2 x 7 1/2 x 2'-0
2319326,1180045B-X1M,28,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 1/2 x 7 1/2 x 2'-0
2358879,1180045B-X1M,8,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1/2 x 7 1/2 x 2'-0
2319331,1180045B-X1N,28,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 3/4 x 6 x 1'-9
2358882,1180045B-X1N,8,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 3/4 x 6 x 1'-9
2319334,1180045B-X1P,8,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 2 1/16 x 12 x 2'-0
2359130,1180045B-X1P,2,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 2 1/16 x 12 x 2'-0
2319339,1180045B-X1S,16,D-1180045-11941,06,PR,003,HS01,5/20/2019,,PL 1 13/16 x 9 1/2 x 1'-9
2358883,1180045B-X1S,4,D-1180045-11622,05,PR,003,HS01,5/20/2019,,PL 1 13/16 x 9 1/2 x 1'-9
2225628,1180082A-G5A-B1,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 x 18 x 38'-0
2225629,1180082A-G5A-B2,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 x 18 x 50'-5 13/16
2225630,1180082A-G5A-B3,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 1/2 x 18 x 60'-0
2225631,1180082A-G5A-T1,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 x 18 x 38'-0
2225632,1180082A-G5A-T2,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 x 18 x 50'-6 5/16
2225633,1180082A-G5A-T3,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 1 1/2 x 18 x 59'-11 1/4
2225634,1180082A-G5A-W1,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 5/8 x 58 x 78'-3 15/16
2225635,1180082A-G5A-W2,1,D-1180082-10261,01,PR,003,HS01,5/20/2019,,PL 5/8 x 58 x 70'-2 1/8
